id,short_name,full_name,eng_name
1,ds,前进道,Dongsi
2,tt,勤俭道,Temple of Heaven
3,gy,团泊洼,Guanyuan
4,wsxg,永明路,Wanshou West Palace
5,atzx,大直沽八号路,Olympic Park
6,nzg,宾水西道,Agricultural Exhibition Hall
7,wl,汉北路,Wanliu
8,bbxq,淮西道,Haidian Northern New Area
9,zwy,第四大道,Beijing Botanical Garden
10,fthy,西四道,Fengtai Garden
11,yg,跃进路,Yungang
12,gc,渔阳路,Shijingshan Gucheng
13,yz,辛老路,Yizhuang
15,lx,宝白公路,Liangxiang
16,tzq,天和路,Shunyi New Town
17,syq,东环路,Shunyi New Town
18,dl,广海道,Dingling
19,cpq,海泰发展二路,Changping Town
20,dxq,雍阳西道,Huangcun Town
21,yf,津同路,Yufa
22,pgq,平谷镇,Pinggu Town
23,hrq,航天路,Huairou Town
24,myx,新华道,Miyun Town
25,mysk,柳霞路,Miyun Reservoir
26,yqx,延庆镇,Yanqing Town
27,bdl,和平路,Badaling